title,original_title,year,duration_mins,rating,votes,countries_available,url,mubi_url
Across the Sea,Deniz Seviyesi,2014,98,6.8,1112,1,https://mubifinder.com/movie/across-the-sea-2014/,https://mubi.com/films/across-the-sea-2014
Hardcore,The Hardcore Life,1979,108,7.3,1689,1,https://mubifinder.com/movie/hardcore/,https://mubi.com/films/hardcore
Orphan,Árva,2025,133,7.9,528,61,https://mubifinder.com/movie/orphan-2025/,https://mubi.com/films/orphan-2025
Ticket of No Return,Bildnis einer Trinkerin. Aller jamais retour,1979,109,8.0,743,234,https://mubifinder.com/movie/ticket-of-no-return/,https://mubi.com/films/ticket-of-no-return
God is Shy,Dieu est timide,2025,16,9.0,843,206,https://mubifinder.com/movie/god-is-shy/,https://mubi.com/films/god-is-shy
Dorian Gray in the Mirror of the Yellow Press,Dorian Gray im Spiegel der Boulevardpresse,1984,152,7.7,152,234,https://mubifinder.com/movie/dorian-gray-in-the-mirror-of-the-yellow-press/,https://mubi.com/films/dorian-gray-in-the-mirror-of-the-yellow-press
7 piano sketches,,2026,15,7.9,263,248,https://mubifinder.com/movie/7-piano-sketches/,https://mubi.com/films/7-piano-sketches
The Rise and Fall and Rise of David,"Davut’un Önlenemeyen Yükselişi, Düşüşü ve Yeniden Yükselişi",2016,32,8.5,39,1,https://mubifinder.com/movie/the-rise-and-fall-and-rise-of-david/,https://mubi.com/films/the-rise-and-fall-and-rise-of-david
Kes,,1969,111,8.7,2824,16,https://mubifinder.com/movie/kes/,https://mubi.com/films/kes
Russian Ark,Русский ковчег,2002,96,7.8,3963,1,https://mubifinder.com/movie/russian-ark/,https://mubi.com/films/russian-ark
Alexandra,Aleksandra,2007,91,7.1,648,1,https://mubifinder.com/movie/alexandra/,https://mubi.com/films/alexandra
Life,,2015,107,7.3,1743,1,https://mubifinder.com/movie/life-2015/,https://mubi.com/films/life-2015
No Other Choice,어쩔수가없다,2025,139,8.8,23166,83,https://mubifinder.com/movie/no-other-choice/,https://mubi.com/films/no-other-choice
Infinite Football,Fotbal infinit,2018,70,6.6,637,159,https://mubifinder.com/movie/infinite-football/,https://mubi.com/films/infinite-football
Almost Certainly False,Neredeyse Kesinlikle Yanlış,2024,20,7.0,182,2,https://mubifinder.com/movie/almost-certainly-false/,https://mubi.com/films/almost-certainly-false
Blind,,2014,96,7.7,3674,4,https://mubifinder.com/movie/blind-2014/,https://mubi.com/films/blind-2014
The Vanishing,Spoorloos,1988,106,8.0,3273,1,https://mubifinder.com/movie/the-vanishing/,https://mubi.com/films/the-vanishing
The Zone of Interest,,2023,105,8.5,5271,26,https://mubifinder.com/movie/the-zone-of-interest/,https://mubi.com/films/the-zone-of-interest
In His Fortress,Onun Kalesinde,2023,21,7.7,606,2,https://mubifinder.com/movie/in-his-fortress/,https://mubi.com/films/in-his-fortress
Pacifiction,,2022,165,7.5,3470,192,https://mubifinder.com/movie/pacifiction/,https://mubi.com/films/pacifiction
Liberté,,2019,132,5.3,1488,211,https://mubifinder.com/movie/liberte/,https://mubi.com/films/liberte
Afternoons of Solitude,Tardes de soledad,2024,126,8.1,1696,165,https://mubifinder.com/movie/tardes-de-soledad/,https://mubi.com/films/tardes-de-soledad
Persepolis,,2007,96,8.8,22973,20,https://mubifinder.com/movie/persepolis/,https://mubi.com/films/persepolis
Early Summer,麦秋 | Bakushū,1951,125,8.8,1613,4,https://mubifinder.com/movie/early-summer/,https://mubi.com/films/early-summer
Tokyo Story,東京物語 | Tōkyō Monogatari,1953,137,9.1,9840,4,https://mubifinder.com/movie/tokyo-story/,https://mubi.com/films/tokyo-story
Late Spring,晩春 | Banshun,1949,108,8.9,4339,4,https://mubifinder.com/movie/late-spring/,https://mubi.com/films/late-spring
Good Morning,お早よう | Ohayō,1959,94,8.6,4443,1,https://mubifinder.com/movie/good-morning/,https://mubi.com/films/good-morning
Tokyo Twilight,東京暮色 | Tōkyō boshoku,1957,141,8.8,1137,1,https://mubifinder.com/movie/tokyo-twilight/,https://mubi.com/films/tokyo-twilight
Flavor of Green Tea Over Rice,お茶漬けの味 | Ochazuke no aji,1952,116,8.1,753,1,https://mubifinder.com/movie/flavor-of-green-tea-over-rice/,https://mubi.com/films/flavor-of-green-tea-over-rice
The Only Son,一人息子 | Hitori musuko,1936,83,8.5,775,1,https://mubifinder.com/movie/the-only-son/,https://mubi.com/films/the-only-son
Hesitation Wound,Tereddüt Çizgisi,2023,84,8.1,6519,2,https://mubifinder.com/movie/hesitation-wound/,https://mubi.com/films/hesitation-wound
Between Two Dawns,İki Şafak Arasında,2021,130,8.3,5194,2,https://mubifinder.com/movie/between-two-dawns/,https://mubi.com/films/between-two-dawns
Freak Orlando,,1981,127,6.9,381,234,https://mubifinder.com/movie/freak-orlando/,https://mubi.com/films/freak-orlando
"To Wong Foo, Thanks for Everything! Julie Newmar",,1995,108,8.5,1752,49,https://mubifinder.com/movie/to-wong-foo-thanks-for-everything-julie-newmar/,https://mubi.com/films/to-wong-foo-thanks-for-everything-julie-newmar
The Color of Pomegranates,Նռան գույնը | Nran Guyne | Sayat Nova,1969,77,8.8,10831,166,https://mubifinder.com/movie/the-color-of-pomegranates/,https://mubi.com/films/the-color-of-pomegranates
Sentimental Value,Affeksjonsverdi,2025,135,9.2,42524,58,https://mubifinder.com/movie/sentimental-value/,https://mubi.com/films/sentimental-value
Ziba,,2015,10,5.6,68,1,https://mubifinder.com/movie/ziba-2015/,https://mubi.com/films/ziba-2015
"sex, lies and videotape",,1989,100,7.5,5040,1,https://mubifinder.com/movie/sex-lies-and-videotape/,https://mubi.com/films/sex-lies-and-videotape
Taxi Driver,,1976,114,8.8,36709,1,https://mubifinder.com/movie/taxi-driver/,https://mubi.com/films/taxi-driver
Peter Hujar’s Day,,2025,76,7.5,1542,155,https://mubifinder.com/movie/peter-hujar-s-day/,https://mubi.com/films/peter-hujar-s-day
This Is Spinal Tap,,1984,83,7.9,8837,1,https://mubifinder.com/movie/this-is-spinal-tap/,https://mubi.com/films/this-is-spinal-tap
Blade Runner 2049,,2017,155,7.8,6017,1,https://mubifinder.com/movie/blade-runner-2049/,https://mubi.com/films/blade-runner-2049
Mermaids,,1990,110,8.4,7325,27,https://mubifinder.com/movie/mermaids/,https://mubi.com/films/mermaids
Moonstruck,,1987,102,8.3,10260,30,https://mubifinder.com/movie/moonstruck/,https://mubi.com/films/moonstruck
This Is Not a Film,In film nist,2011,79,8.3,2193,42,https://mubifinder.com/movie/this-is-not-a-film/,https://mubi.com/films/this-is-not-a-film
Chess of the Wind,Shatranj-e baad,1976,100,7.9,2093,150,https://mubifinder.com/movie/chess-of-the-wind/,https://mubi.com/films/chess-of-the-wind
Fish & Cat,Mahi va Gorbeh,2013,141,6.1,189,1,https://mubifinder.com/movie/fish-cat/,https://mubi.com/films/fish-cat
The Cow,Gav,1969,105,8.5,1937,1,https://mubifinder.com/movie/the-cow/,https://mubi.com/films/the-cow
Ema,,2019,113,8.0,28586,168,https://mubifinder.com/movie/ema-2019/,https://mubi.com/films/ema-2019
Snow and the Bear,Kar ve Ayı,2022,94,7.8,452,1,https://mubifinder.com/movie/snow-and-the-bear/,https://mubi.com/films/snow-and-the-bear
GENER8ION: STORM starring Yung Lean [MV],,2026,8,9.1,3595,248,https://mubifinder.com/movie/gener8ion-storm-starring-yung-lean-mv/,https://mubi.com/films/gener8ion-storm-starring-yung-lean-mv
The Mysterious Gaze of the Flamingo,La misteriosa mirada del flamenco,2025,108,8.8,3991,97,https://mubifinder.com/movie/the-mysterious-gaze-of-the-flamingo/,https://mubi.com/films/the-mysterious-gaze-of-the-flamingo
Marie Antoinette,,2006,123,6.9,8905,1,https://mubifinder.com/movie/marie-antoinette/,https://mubi.com/films/marie-antoinette
Tenere,,2020,93,9.0,2016,1,https://mubifinder.com/movie/tenere/,https://mubi.com/films/tenere
The Braves,Entre les vagues,2021,100,8.6,2782,145,https://mubifinder.com/movie/the-braves/,https://mubi.com/films/the-braves
While We're Young,,2014,98,7.2,11161,6,https://mubifinder.com/movie/while-we-re-young/,https://mubi.com/films/while-we-re-young
La grazia,,2025,133,9.1,12152,72,https://mubifinder.com/movie/la-grazia/,https://mubi.com/films/la-grazia
Bamako,,2006,117,8.5,673,196,https://mubifinder.com/movie/bamako/,https://mubi.com/films/bamako
Monangambééé,,1968,16,7.5,624,248,https://mubifinder.com/movie/monangambeee/,https://mubi.com/films/monangambeee
Abouna,,2002,84,7.8,985,247,https://mubifinder.com/movie/abouna/,https://mubi.com/films/abouna
The Blazing Sun,Siraa Fil-Wadi,1954,116,8.1,976,233,https://mubifinder.com/movie/the-blazing-sun-1954/,https://mubi.com/films/the-blazing-sun-1954
The Choice,Yam Daabo,1987,79,7.7,260,145,https://mubifinder.com/movie/the-choice/,https://mubi.com/films/the-choice
Chronicle of the Years of Fire,Chronique Des Années De Braise | Waqai Sanawat Al-Djamr,1975,178,9.1,673,145,https://mubifinder.com/movie/chronicle-of-the-years-of-fire/,https://mubi.com/films/chronicle-of-the-years-of-fire
It Was Nice to Meet You,Tanıştığıma Memnun Oldum,2025,31,9.4,126,1,https://mubifinder.com/movie/it-was-nice-to-meet-you/,https://mubi.com/films/it-was-nice-to-meet-you
And Life Goes On...,Zendegi va digar hich,1992,95,8.7,2292,1,https://mubifinder.com/movie/life-and-nothing-more/,https://mubi.com/films/life-and-nothing-more
Do the Right Thing,,1989,120,8.5,15771,49,https://mubifinder.com/movie/do-the-right-thing/,https://mubi.com/films/do-the-right-thing
Bones and All,,2022,131,7.6,4531,47,https://mubifinder.com/movie/bones-and-all/,https://mubi.com/films/bones-and-all
Ice Cream,Dondurma,2014,16,8.0,1670,2,https://mubifinder.com/movie/ice-cream-2014/,https://mubi.com/films/ice-cream-2014
Musa,,2012,18,6.7,1650,2,https://mubifinder.com/movie/musa/,https://mubi.com/films/musa
